motion,joint,axis,mean_cmc,std_cmc,trial_count,lower_bound,upper_bound
kicking,Avg_Ankle,X,0.919431711,0.070166995,92,0.880409087,0.946086292
kicking,Avg_Ankle,Y,0.78289507,0.145405871,97,0.691409749,0.849669031
kicking,Avg_Ankle,Z,0.977812785,0.018854821,73,0.96478651,0.986054545
kicking,Avg_Hip,X,0.986020147,0.009105742,89,0.978743909,0.990817192
kicking,Avg_Hip,Y,0.952476307,0.027176663,96,0.929482606,0.968096392
kicking,Avg_Hip,Z,0.946293914,0.048318235,96,0.920430848,0.963908466
kicking,Avg_Knee,X,0.988563092,0.005594517,94,0.982800783,0.992402234
kicking,Avg_Knee,Y,0.987248216,0.00489977,96,0.980913978,0.991489289
kicking,Avg_Knee,Z,0.943565369,0.044129817,89,0.915136467,0.962656418
kicking,Trunk,X,0.89082644,0.067208251,97,0.840759907,0.925786244
kicking,Trunk,Y,0.865523186,0.09773638,96,0.804667327,0.908381942
kicking,Trunk,Z,0.96587529,0.035688141,97,0.949303049,0.977093917
pitching,Avg_Ankle,X,0.923215244,0.057191799,97,0.887115315,0.94808818
pitching,Avg_Ankle,Y,0.937805073,0.029197447,99,0.908607153,0.957880779
pitching,Avg_Ankle,Z,0.995776593,0.00198286,88,0.993546002,0.997237329
pitching,Avg_Hip,X,0.982743234,0.011733887,94,0.97408689,0.988524712
pitching,Avg_Hip,Y,0.97314507,0.023364904,83,0.958679754,0.982591403
pitching,Avg_Hip,Z,0.990849261,0.00390905,98,0.986349882,0.993870123
pitching,Avg_Knee,X,0.991367335,0.004769975,99,0.987147888,0.994205544
pitching,Avg_Knee,Y,0.987207136,0.004863074,93,0.980724847,0.991518747
pitching,Avg_Knee,Z,0.991296446,0.003407602,88,0.986715417,0.994302292
pitching,Trunk,X,0.960353884,0.031103027,99,0.94142169,0.973251598
pitching,Trunk,Y,0.950168509,0.036755845,98,0.926405995,0.966392281
pitching,Trunk,Z,0.998021643,0.001056487,98,0.997043656,0.998676317
swing,Avg_Ankle,X,0.739634979,0.160395829,84,0.624225905,0.823451948
swing,Avg_Ankle,Y,0.900736036,0.050309214,83,0.850228358,0.934811061
swing,Avg_Ankle,Z,0.994625686,0.003203134,68,0.991275309,0.996691619
swing,Avg_Hip,X,0.931234278,0.039632033,94,0.898068311,0.95387115
swing,Avg_Hip,Y,0.986634675,0.006835563,89,0.979675014,0.991221783
swing,Avg_Hip,Z,0.992756222,0.002982017,89,0.988966501,0.995247383
swing,Avg_Knee,X,0.975379175,0.012491392,88,0.962577695,0.983837568
swing,Avg_Knee,Y,0.993810479,0.002458203,81,0.99036912,0.996024609
swing,Avg_Knee,Z,0.986160399,0.005790256,88,0.978904702,0.990931945
swing,Trunk,X,0.90384743,0.080556519,87,0.85621781,0.936241104
swing,Trunk,Y,0.970585542,0.02195982,86,0.955125137,0.980771872
swing,Trunk,Z,0.996655588,0.001801557,88,0.994888049,0.997812642
